epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9379,1.15295,2.08152,1.11544,0.40433,0.04656,0.39059,0.25511,1.04695,2.87483,1.04171,0.000547495,0.000547495,0.000547495
2,28.3543,1.07037,1.24166,1.08383,0.79181,0.83641,0.85559,0.59825,1.05178,1.3137,1.1333,0.0010977,0.0010977,0.0010977
3,41.7346,1.06438,1.07722,1.09338,0.83412,0.90207,0.87266,0.61043,1.07933,1.01004,1.18074,0.00164241,0.00164241,0.00164241
4,55.9433,1.05031,0.9618,1.12006,0.93894,0.94839,0.97022,0.6545,1.0724,0.92172,1.11977,0.00164225,0.00164225,0.00164225
5,73.3259,0.98774,0.81937,1.07952,0.92665,0.90207,0.92901,0.66289,1.00585,0.75582,1.11625,0.00163399,0.00163399,0.00163399
6,90.6886,1.00889,0.78331,1.08464,0.97164,0.97284,0.98725,0.69855,0.9814,0.61642,1.08798,0.00162574,0.00162574,0.00162574
7,107.909,0.97027,0.71902,1.06299,0.88464,0.79218,0.88731,0.60273,1.07241,0.89149,1.13521,0.00161749,0.00161749,0.00161749
8,124.646,0.9714,0.70829,1.06303,0.94916,0.96512,0.97388,0.71964,0.89995,0.60776,1.07081,0.00160924,0.00160924,0.00160924
9,139.871,0.91656,0.64904,1.0495,0.96602,0.99056,0.98821,0.73698,0.87371,0.58524,1.04832,0.00160099,0.00160099,0.00160099
10,153.131,0.93497,0.63259,1.04094,0.95255,0.96937,0.97878,0.72937,0.85391,0.57466,1.03082,0.00159274,0.00159274,0.00159274
11,166.418,0.90683,0.61048,1.04086,0.95107,0.97974,0.98551,0.73821,0.88186,0.53707,1.04543,0.00158448,0.00158448,0.00158448
12,179.746,0.89555,0.59619,1.03968,0.97745,0.97384,0.98042,0.73406,0.87563,0.50375,1.0464,0.00157623,0.00157623,0.00157623
13,193.085,0.90545,0.58204,1.03546,0.96141,0.98837,0.98526,0.73104,0.88297,0.52258,1.04199,0.00156798,0.00156798,0.00156798
14,206.412,0.87068,0.55789,1.0237,0.9557,0.96814,0.98087,0.72429,0.93193,0.53121,1.05801,0.00155973,0.00155973,0.00155973
