epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1824,1.15295,2.08152,1.11544,0.41396,0.04666,0.38916,0.25531,1.04673,2.87564,1.04179,0.000547495,0.000547495,0.000547495
2,30.7148,1.07181,1.23903,1.08157,0.53151,0.65936,0.54684,0.42437,1.06942,1.97867,1.13783,0.00109952,0.00109952,0.00109952
3,48.2439,1.08666,1.08989,1.10114,0.94912,0.92242,0.95436,0.66422,1.04242,0.87393,1.14321,0.00164788,0.00164788,0.00164788
4,65.5266,1.04692,0.96569,1.1042,0.862,0.91453,0.93219,0.65029,0.98905,1.02987,1.09331,0.0016505,0.0016505,0.0016505
5,82.5757,0.99429,0.81748,1.07965,0.94585,0.93302,0.96509,0.68859,0.97521,0.68249,1.08923,0.001645,0.001645,0.001645
6,99.515,1.00056,0.77224,1.07874,0.94396,0.9239,0.96557,0.69917,0.9732,0.64397,1.08905,0.00163949,0.00163949,0.00163949
7,116.343,0.97885,0.71755,1.05803,0.92573,0.97127,0.97142,0.70097,0.9204,0.61432,1.05861,0.00163399,0.00163399,0.00163399
8,133.194,0.96266,0.68473,1.05909,0.98392,0.95051,0.9807,0.72841,0.9082,0.57026,1.05344,0.00162849,0.00162849,0.00162849
9,149.96,0.92189,0.63826,1.0544,0.9505,0.97384,0.98061,0.72789,0.88813,0.56445,1.03889,0.00162299,0.00162299,0.00162299
10,166.669,0.9536,0.62872,1.04804,0.96649,0.97026,0.97666,0.72572,0.91052,0.547,1.059,0.00161749,0.00161749,0.00161749
11,183.382,0.90744,0.60612,1.03837,0.97759,0.95341,0.98288,0.74136,0.89729,0.51331,1.04148,0.00161199,0.00161199,0.00161199
12,200.086,0.89541,0.59646,1.04194,0.97114,0.97763,0.98443,0.74307,0.89033,0.51611,1.05131,0.00160649,0.00160649,0.00160649
13,216.891,0.93105,0.58395,1.03754,0.96509,0.97965,0.97654,0.72592,0.9018,0.48952,1.04442,0.00160099,0.00160099,0.00160099
